candidate_id,full_name,age,gender,experience_years,education_level,major,skills,salary_expectation_usd,preferred_location,job_type_preference,current_employment_status,english_level,availability,portfolio_url,linkedin_url
24,Bui Hoang D 24,38,Female,3,Associate,Electrical Engineering,Java|React|Git|Node.js|Communication,4407,Da Nang,Contract,Unemployed,Advanced,2 months,https://portfolio24.com,https://linkedin.com/in/candidate24
25,Huynh Van A 25,29,Male,7,PhD,Information Technology,Angular|React|HTML/CSS|AWS,2925,Da Nang,Internship,Student,Native,1 month,https://portfolio25.com,https://linkedin.com/in/candidate25
26,Bui Van A 26,42,Male,2,PhD,Marketing,Flask|Angular|Project Management|Machine Learning|AWS,4296,Da Nang,Internship,Employed,Basic,2 months,https://portfolio26.com,https://linkedin.com/in/candidate26
27,Hoang Hoang D 27,39,Female,9,High School,Computer Science,Data Analysis|AWS|Team Leadership,3040,Remote,Full-time,Employed,Intermediate,1 month,https://portfolio27.com,https://linkedin.com/in/candidate27
28,Le Quang F 28,39,Other,1,Associate,Data Science,React|Node.js|Agile|AWS|Python|Team Leadership,1200,Remote,Internship,Employed,Advanced,1 month,https://portfolio28.com,https://linkedin.com/in/candidate28
29,Tran Minh C 29,35,Other,10,Bachelor,English Literature,HTML/CSS|Problem Solving|Java|Spring|AWS,2956,Flexible,Internship,Student,Intermediate,2 months,https://portfolio29.com,https://linkedin.com/in/candidate29
30,Hoang Mai I 30,36,Male,9,High School,Software Engineering,Machine Learning|Agile|Scrum|Docker|Python|Node.js|JavaScript,3176,Remote,Full-time,Student,Advanced,Immediate,https://portfolio30.com,https://linkedin.com/in/candidate30
31,Tran Linh J 31,27,Other,13,High School,Mechanical Engineering,Python|Team Leadership|Node.js|Problem Solving|JavaScript,1162,Flexible,Full-time,Unemployed,Intermediate,Immediate,https://portfolio31.com,https://linkedin.com/in/candidate31
32,Dang Thi B 32,32,Female,6,PhD,Software Engineering,Docker|C++|Machine Learning|Git|Flask|Scrum|Problem Solving,4738,Flexible,Part-time,Student,Basic,2 weeks,,https://linkedin.com/in/candidate32
33,Hoang Thu G 33,34,Female,1,High School,Marketing,Problem Solving|Data Analysis|JavaScript|Git|HTML/CSS|Agile,4651,Da Nang,Internship,Unemployed,Native,2 months,https://portfolio33.com,https://linkedin.com/in/candidate33
34,Dang Van A 34,46,Male,8,High School,Computer Science,Django|Java|Flask,4212,Remote,Part-time,Unemployed,Basic,2 weeks,,https://linkedin.com/in/candidate34
35,Huynh Van A 35,22,Female,15,High School,Mathematics,Docker|SQL|Spring|Git|Python|C++,3106,Flexible,Part-time,Employed,Intermediate,1 month,https://portfolio35.com,https://linkedin.com/in/candidate35
36,Tran Van A 36,49,Male,12,PhD,Marketing,Angular|JavaScript|Data Analysis|Agile|SQL|Azure|Team Leadership,884,Hanoi,Contract,Student,Advanced,Immediate,https://portfolio36.com,https://linkedin.com/in/candidate36
37,Hoang Linh J 37,27,Female,8,Bachelor,Data Science,JavaScript|Docker|Problem Solving|C++,2624,Hanoi,Part-time,Employed,Advanced,2 months,,https://linkedin.com/in/candidate37
38,Bui Quang F 38,30,Male,19,Bachelor,Electrical Engineering,Java|Scrum|JavaScript|Agile,4685,Remote,Part-time,Employed,Native,2 months,https://portfolio38.com,https://linkedin.com/in/candidate38
39,Nguyen Van A 39,29,Other,3,High School,Economics,HTML/CSS|C++|Java|SQL,1107,Da Nang,Part-time,Student,Basic,2 months,https://portfolio39.com,https://linkedin.com/in/candidate39
40,Tran Mai I 40,32,Female,9,PhD,Mechanical Engineering,Team Leadership|React|Django|Docker|C++|Spring|Java,2721,Da Nang,Part-time,Student,Basic,Immediate,https://portfolio40.com,https://linkedin.com/in/candidate40
41,Le Van A 41,43,Female,11,Bachelor,Data Science,Team Leadership|AWS|Docker|Azure|JavaScript,1430,Flexible,Full-time,Freelancer,Basic,2 weeks,https://portfolio41.com,https://linkedin.com/in/candidate41
42,Hoang Thu G 42,40,Male,16,Bachelor,English Literature,Agile|Project Management|JavaScript|Git|SQL,3171,Remote,Internship,Unemployed,Advanced,Immediate,https://portfolio42.com,https://linkedin.com/in/candidate42
43,Huynh Van A 43,45,Male,13,Bachelor,Mathematics,Spring|Team Leadership|React|Machine Learning|HTML/CSS,4100,Hanoi,Contract,Freelancer,Native,2 weeks,https://portfolio43.com,https://linkedin.com/in/candidate43
44,Hoang Thanh E 44,30,Female,13,PhD,English Literature,React|Communication|Angular|Problem Solving|Flask|Scrum,4467,Flexible,Full-time,Unemployed,Advanced,1 month,https://portfolio44.com,https://linkedin.com/in/candidate44
45,Huynh Minh C 45,38,Male,1,PhD,Marketing,Angular|Machine Learning|Python|Django,1526,Flexible,Contract,Unemployed,Basic,1 month,https://portfolio45.com,https://linkedin.com/in/candidate45
46,Hoang Thu G 46,33,Female,19,High School,Computer Science,Team Leadership|Spring|React,2448,Ho Chi Minh City,Contract,Unemployed,Intermediate,2 weeks,https://portfolio46.com,https://linkedin.com/in/candidate46
47,Hoang Thanh E 47,46,Other,10,Master,Data Science,Team Leadership|C++|Data Analysis|Django|JavaScript|Flask|Machine Learning,2069,Remote,Full-time,Employed,Advanced,1 month,https://portfolio47.com,https://linkedin.com/in/candidate47
48,Hoang Linh J 48,35,Male,15,Bachelor,Finance,React|Django|Spring,1118,Flexible,Part-time,Employed,Native,1 month,,https://linkedin.com/in/candidate48
49,Do Minh C 49,36,Female,18,Master,Mathematics,Angular|Scrum|Git,4275,Hanoi,Full-time,Student,Basic,2 months,https://portfolio49.com,https://linkedin.com/in/candidate49
50,Nguyen Thanh E 50,37,Other,5,PhD,Computer Science,Git|Node.js|Java|AWS,3578,Ho Chi Minh City,Contract,Unemployed,Intermediate,2 months,https://portfolio50.com,https://linkedin.com/in/candidate50
51,Bui Van A 51,43,Other,18,PhD,Electrical Engineering,Python|Django|C++|SQL|Docker|HTML/CSS|Git,3858,Hanoi,Contract,Unemployed,Advanced,Immediate,https://portfolio51.com,https://linkedin.com/in/candidate51
52,Le Hoang D 52,43,Female,4,PhD,Mathematics,Communication|JavaScript|Team Leadership|Project Management|Node.js|Git|Python,4934,Da Nang,Part-time,Unemployed,Intermediate,Immediate,https://portfolio52.com,https://linkedin.com/in/candidate52
53,Nguyen Van A 53,49,Male,3,Master,English Literature,React|Java|Data Analysis|Spring|Agile,2402,Ho Chi Minh City,Full-time,Employed,Intermediate,Immediate,https://portfolio53.com,https://linkedin.com/in/candidate53
54,Dang Thi B 54,41,Female,14,PhD,Mathematics,HTML/CSS|Azure|Angular|Project Management|AWS,3056,Ho Chi Minh City,Internship,Student,Native,2 months,,https://linkedin.com/in/candidate54
55,Dang Thu G 55,22,Other,3,High School,Economics,Spring|Git|Azure,1629,Flexible,Contract,Employed,Advanced,Immediate,https://portfolio55.com,https://linkedin.com/in/candidate55
56,Do Linh J 56,31,Female,19,PhD,Marketing,Machine Learning|Python|Data Analysis|SQL|Docker,1655,Da Nang,Full-time,Freelancer,Native,Immediate,https://portfolio56.com,https://linkedin.com/in/candidate56
57,Tran Quang F 57,29,Male,9,Associate,Business Administration,Java|JavaScript|Agile|Python|Problem Solving|Node.js,3448,Flexible,Part-time,Freelancer,Basic,2 months,https://portfolio57.com,https://linkedin.com/in/candidate57
58,Huynh Minh C 58,39,Other,2,Master,English Literature,Node.js|React|Angular|Python|Spring|JavaScript,2658,Remote,Part-time,Freelancer,Intermediate,2 weeks,,https://linkedin.com/in/candidate58
59,Tran Van A 59,49,Female,4,Associate,Economics,Communication|SQL|AWS|Python|Machine Learning|Java|Django,1902,Hanoi,Internship,Student,Native,2 months,https://portfolio59.com,https://linkedin.com/in/candidate59
60,Huynh Thanh E 60,22,Male,5,PhD,Mechanical Engineering,HTML/CSS|Python|Docker|Git|Data Analysis,3281,Hanoi,Contract,Freelancer,Native,2 weeks,https://portfolio60.com,https://linkedin.com/in/candidate60
61,Bui Van A 61,23,Other,7,High School,Information Technology,Node.js|Spring|JavaScript|Machine Learning|HTML/CSS|Azure,2620,Flexible,Internship,Student,Basic,2 months,,https://linkedin.com/in/candidate61
62,Vo Thanh E 62,22,Male,6,Bachelor,Business Administration,Agile|Node.js|HTML/CSS,2879,Hanoi,Internship,Employed,Advanced,Immediate,https://portfolio62.com,https://linkedin.com/in/candidate62
63,Hoang Thi B 63,22,Other,9,PhD,Marketing,JavaScript|React|Git|C++|Machine Learning,3958,Hanoi,Internship,Employed,Native,1 month,,https://linkedin.com/in/candidate63
64,Le Thu G 64,30,Female,5,High School,Finance,Data Analysis|Git|Machine Learning|SQL|HTML/CSS,3240,Remote,Internship,Student,Intermediate,1 month,https://portfolio64.com,https://linkedin.com/in/candidate64
65,Huynh Thi B 65,34,Male,13,Master,Business Administration,JavaScript|Python|Node.js|AWS,4484,Da Nang,Part-time,Employed,Intermediate,2 weeks,https://portfolio65.com,https://linkedin.com/in/candidate65
66,Huynh Thi B 66,22,Other,3,Associate,Mechanical Engineering,Java|Node.js|Agile|Django|Project Management|Team Leadership|Git,2055,Ho Chi Minh City,Contract,Employed,Intermediate,2 weeks,,https://linkedin.com/in/candidate66
67,Tran Thi B 67,34,Male,12,Associate,Computer Science,Django|Team Leadership|HTML/CSS|Docker|Git|JavaScript|Agile,3757,Flexible,Internship,Student,Intermediate,2 weeks,,https://linkedin.com/in/candidate67
68,Le Thi B 68,41,Male,19,Associate,Finance,Django|Communication|Git|Project Management|Data Analysis|Scrum|Agile,4451,Flexible,Contract,Freelancer,Native,1 month,https://portfolio68.com,https://linkedin.com/in/candidate68
69,Pham Mai I 69,47,Female,16,Master,English Literature,React|Problem Solving|Flask|Team Leadership|Agile,3039,Remote,Part-time,Student,Intermediate,2 weeks,https://portfolio69.com,https://linkedin.com/in/candidate69
70,Huynh Van A 70,43,Male,6,High School,Finance,Python|Data Analysis|Scrum,2739,Remote,Part-time,Unemployed,Native,2 months,https://portfolio70.com,https://linkedin.com/in/candidate70
71,Dang Thu G 71,28,Other,3,Master,Data Science,Azure|SQL|Python|Agile|C++,1069,Ho Chi Minh City,Full-time,Employed,Advanced,2 months,https://portfolio71.com,https://linkedin.com/in/candidate71
72,Do Minh C 72,23,Other,13,Associate,Mechanical Engineering,Java|Git|Scrum|Data Analysis|Team Leadership|Communication,4864,Da Nang,Full-time,Student,Intermediate,1 month,https://portfolio72.com,https://linkedin.com/in/candidate72
73,Nguyen Thanh E 73,27,Other,2,PhD,Mathematics,Team Leadership|Angular|SQL,4575,Flexible,Contract,Employed,Advanced,2 months,,https://linkedin.com/in/candidate73
74,Pham Linh J 74,28,Other,4,Bachelor,Economics,Scrum|React|Flask|Spring|Project Management,1912,Remote,Full-time,Freelancer,Native,2 weeks,https://portfolio74.com,https://linkedin.com/in/candidate74
75,Dang Van A 75,47,Female,15,Master,Business Administration,JavaScript|Flask|Angular,1448,Flexible,Internship,Employed,Basic,1 month,https://portfolio75.com,https://linkedin.com/in/candidate75
76,Do Van A 76,35,Male,19,Master,Data Science,Django|Scrum|AWS|HTML/CSS|Data Analysis,1979,Hanoi,Contract,Student,Advanced,2 weeks,https://portfolio76.com,https://linkedin.com/in/candidate76
77,Pham Duc H 77,47,Female,3,High School,Finance,Machine Learning|Django|Angular|JavaScript|Python|Problem Solving,2942,Flexible,Part-time,Freelancer,Intermediate,2 months,https://portfolio77.com,https://linkedin.com/in/candidate77
78,Hoang Thi B 78,39,Male,1,High School,Data Science,Java|Project Management|Docker|JavaScript,816,Da Nang,Part-time,Freelancer,Basic,2 weeks,,https://linkedin.com/in/candidate78
79,Huynh Thanh E 79,36,Male,17,Master,Software Engineering,Node.js|Machine Learning|Agile|Angular|Team Leadership,916,Da Nang,Internship,Freelancer,Advanced,1 month,,https://linkedin.com/in/candidate79
80,Tran Minh C 80,23,Male,18,Associate,Mechanical Engineering,C++|Problem Solving|Angular|Flask|Git|SQL,2345,Flexible,Full-time,Unemployed,Native,2 weeks,https://portfolio80.com,https://linkedin.com/in/candidate80
81,Bui Thu G 81,31,Female,18,Bachelor,Economics,Node.js|SQL|Python|Flask|Machine Learning|C++|Java,3951,Hanoi,Contract,Student,Native,2 months,https://portfolio81.com,https://linkedin.com/in/candidate81
82,Vo Quang F 82,44,Male,16,High School,Electrical Engineering,Docker|Scrum|Django|Spring|C++|Project Management|Python,3493,Da Nang,Contract,Student,Native,Immediate,https://portfolio82.com,https://linkedin.com/in/candidate82
83,Dang Hoang D 83,33,Female,13,Associate,Computer Science,Python|Project Management|Angular,4889,Remote,Internship,Freelancer,Advanced,1 month,https://portfolio83.com,https://linkedin.com/in/candidate83
84,Dang Hoang D 84,38,Other,18,PhD,Finance,Problem Solving|Communication|Agile,2076,Flexible,Full-time,Employed,Native,2 weeks,https://portfolio84.com,https://linkedin.com/in/candidate84
85,Dang Mai I 85,29,Other,12,High School,Mechanical Engineering,Data Analysis|Agile|Python|C++,4040,Hanoi,Contract,Freelancer,Advanced,1 month,https://portfolio85.com,https://linkedin.com/in/candidate85
86,Le Minh C 86,32,Male,11,Associate,Electrical Engineering,Docker|Machine Learning|AWS|Team Leadership|Scrum,4588,Remote,Internship,Unemployed,Intermediate,2 weeks,https://portfolio86.com,https://linkedin.com/in/candidate86
87,Tran Linh J 87,24,Female,5,Associate,Electrical Engineering,Django|Communication|C++|Project Management|Docker|SQL|Problem Solving,1171,Flexible,Contract,Freelancer,Intermediate,Immediate,,https://linkedin.com/in/candidate87
88,Le Minh C 88,48,Other,3,Bachelor,Marketing,Machine Learning|JavaScript|AWS|Python|Docker|Team Leadership|Agile,3607,Hanoi,Part-time,Student,Advanced,2 months,,https://linkedin.com/in/candidate88
89,Hoang Thanh E 89,27,Female,18,Bachelor,Economics,C++|Django|Project Management|Python|Data Analysis|Scrum,955,Remote,Contract,Freelancer,Advanced,2 weeks,https://portfolio89.com,https://linkedin.com/in/candidate89
90,Tran Linh J 90,30,Female,15,PhD,Data Science,Problem Solving|Scrum|Data Analysis,3461,Da Nang,Contract,Employed,Basic,2 weeks,https://portfolio90.com,https://linkedin.com/in/candidate90
91,Huynh Thanh E 91,27,Male,12,Associate,Electrical Engineering,Azure|JavaScript|Agile,1264,Flexible,Contract,Student,Native,Immediate,https://portfolio91.com,https://linkedin.com/in/candidate91
92,Huynh Van A 92,30,Other,3,Associate,Software Engineering,Problem Solving|Python|Scrum|Django|HTML/CSS|Flask,2573,Flexible,Full-time,Employed,Intermediate,1 month,https://portfolio92.com,https://linkedin.com/in/candidate92
93,Hoang Mai I 93,28,Male,16,Bachelor,Mechanical Engineering,Git|HTML/CSS|Docker|Communication,916,Da Nang,Full-time,Freelancer,Intermediate,2 months,https://portfolio93.com,https://linkedin.com/in/candidate93
94,Do Thi B 94,30,Male,0,High School,Information Technology,Python|C++|AWS|Project Management|Flask|Angular|Team Leadership,2903,Ho Chi Minh City,Internship,Student,Basic,2 weeks,,https://linkedin.com/in/candidate94
95,Nguyen Linh J 95,39,Other,17,High School,Information Technology,SQL|Java|Angular|Flask|Django|Docker|Communication,2174,Remote,Full-time,Unemployed,Advanced,2 weeks,https://portfolio95.com,https://linkedin.com/in/candidate95
96,Bui Linh J 96,33,Other,19,Master,Mathematics,Data Analysis|JavaScript|Python|Project Management|SQL,4003,Da Nang,Contract,Student,Advanced,2 months,,https://linkedin.com/in/candidate96
97,Bui Mai I 97,29,Female,16,Bachelor,Mathematics,AWS|Azure|Project Management,4346,Flexible,Contract,Employed,Basic,Immediate,,https://linkedin.com/in/candidate97
98,Huynh Duc H 98,29,Other,14,Master,Finance,AWS|Communication|Agile|Docker|Data Analysis|C++,4777,Remote,Full-time,Student,Native,1 month,https://portfolio98.com,https://linkedin.com/in/candidate98
99,Nguyen Linh J 99,39,Female,10,Bachelor,Mathematics,Communication|Azure|Django,1996,Remote,Full-time,Unemployed,Advanced,2 months,,https://linkedin.com/in/candidate99
100,Pham Van A 100,49,Female,12,PhD,English Literature,Communication|Git|Team Leadership|SQL|Django,4211,Ho Chi Minh City,Contract,Unemployed,Advanced,1 month,https://portfolio100.com,https://linkedin.com/in/candidate100
101,Dang Van A 101,41,Female,0,Associate,Data Science,React|Project Management|Python|Spring|Team Leadership|Docker|Django,1596,Flexible,Contract,Unemployed,Native,Immediate,,https://linkedin.com/in/candidate101
102,Le Hoang D 102,36,Other,16,PhD,English Literature,Flask|Spring|Problem Solving,4692,Hanoi,Part-time,Unemployed,Native,Immediate,,https://linkedin.com/in/candidate102
103,Dang Quang F 103,48,Male,5,Bachelor,Electrical Engineering,Docker|SQL|Node.js|Django|Machine Learning,950,Ho Chi Minh City,Internship,Employed,Basic,2 months,https://portfolio103.com,https://linkedin.com/in/candidate103
104,Do Thu G 104,28,Female,3,Associate,Mechanical Engineering,Data Analysis|Node.js|C++|Project Management|Spring|Angular,4049,Ho Chi Minh City,Full-time,Student,Basic,2 weeks,https://portfolio104.com,https://linkedin.com/in/candidate104
105,Dang Thi B 105,32,Male,19,High School,Finance,Project Management|Spring|Git|Docker|Machine Learning,911,Hanoi,Internship,Freelancer,Basic,Immediate,,https://linkedin.com/in/candidate105
106,Do Duc H 106,41,Male,15,High School,Business Administration,Azure|Machine Learning|Data Analysis|Java|AWS|Flask,1482,Hanoi,Contract,Unemployed,Advanced,Immediate,,https://linkedin.com/in/candidate106
107,Le Thu G 107,37,Other,14,Master,Electrical Engineering,Git|Flask|Angular|Node.js,1961,Ho Chi Minh City,Internship,Freelancer,Basic,2 months,https://portfolio107.com,https://linkedin.com/in/candidate107
108,Le Thu G 108,25,Male,14,Bachelor,Data Science,AWS|Git|Agile|Scrum|JavaScript|Docker,3179,Remote,Full-time,Freelancer,Advanced,2 months,https://portfolio108.com,https://linkedin.com/in/candidate108
109,Tran Linh J 109,27,Male,5,Bachelor,Information Technology,Angular|Agile|Data Analysis|Azure|Problem Solving|Team Leadership|C++,960,Da Nang,Full-time,Student,Intermediate,2 months,https://portfolio109.com,https://linkedin.com/in/candidate109
110,Huynh Minh C 110,47,Other,14,High School,Economics,Angular|Scrum|Git|C++|Flask|Problem Solving|Spring,2225,Da Nang,Internship,Freelancer,Native,Immediate,https://portfolio110.com,https://linkedin.com/in/candidate110
111,Le Mai I 111,43,Female,13,PhD,Mathematics,Spring|Git|Project Management|Machine Learning|Agile,4461,Ho Chi Minh City,Full-time,Freelancer,Native,1 month,,https://linkedin.com/in/candidate111
112,Vo Thanh E 112,47,Male,10,Associate,Marketing,Docker|Agile|AWS|Scrum|Flask,1077,Remote,Part-time,Employed,Intermediate,Immediate,https://portfolio112.com,https://linkedin.com/in/candidate112
113,Do Thu G 113,24,Other,6,PhD,Mechanical Engineering,HTML/CSS|JavaScript|Docker,4191,Hanoi,Contract,Freelancer,Basic,2 months,https://portfolio113.com,https://linkedin.com/in/candidate113
114,Bui Van A 114,30,Male,8,PhD,Computer Science,Spring|Django|Python|HTML/CSS|Git|Team Leadership,2356,Ho Chi Minh City,Contract,Student,Advanced,2 weeks,https://portfolio114.com,https://linkedin.com/in/candidate114
115,Vo Quang F 115,49,Male,15,High School,Economics,SQL|HTML/CSS|React|C++,2715,Flexible,Full-time,Freelancer,Advanced,2 weeks,,https://linkedin.com/in/candidate115
116,Do Mai I 116,31,Female,4,High School,English Literature,Docker|Problem Solving|JavaScript|Data Analysis|SQL|AWS,3907,Remote,Contract,Student,Advanced,2 months,https://portfolio116.com,https://linkedin.com/in/candidate116
117,Nguyen Hoang D 117,35,Male,19,High School,Mathematics,HTML/CSS|Agile|Node.js|JavaScript|Team Leadership|React,1102,Flexible,Part-time,Unemployed,Native,2 weeks,,https://linkedin.com/in/candidate117
118,Bui Hoang D 118,32,Other,9,Master,Finance,SQL|Python|Node.js,3573,Flexible,Full-time,Freelancer,Basic,Immediate,,https://linkedin.com/in/candidate118
119,Do Minh C 119,39,Male,17,PhD,English Literature,Node.js|C++|Java|Docker|Spring,4045,Ho Chi Minh City,Part-time,Freelancer,Advanced,1 month,,https://linkedin.com/in/candidate119
120,Bui Thi B 120,43,Female,2,Bachelor,Mechanical Engineering,C++|Azure|Communication|SQL,1800,Remote,Part-time,Freelancer,Advanced,Immediate,,https://linkedin.com/in/candidate120
121,Pham Quang F 121,33,Female,12,Associate,English Literature,Angular|Communication|Azure|Flask|Project Management,4634,Flexible,Contract,Unemployed,Advanced,2 months,https://portfolio121.com,https://linkedin.com/in/candidate121
122,Tran Duc H 122,44,Other,10,Master,Mechanical Engineering,Python|Communication|JavaScript|React|Data Analysis,4806,Remote,Contract,Employed,Intermediate,Immediate,https://portfolio122.com,https://linkedin.com/in/candidate122
123,Dang Van A 123,33,Female,16,Bachelor,English Literature,React|C++|Docker,2518,Da Nang,Internship,Freelancer,Advanced,2 weeks,,https://linkedin.com/in/candidate123
124,Le Linh J 124,34,Male,12,PhD,Economics,Angular|JavaScript|Scrum,4630,Flexible,Part-time,Student,Intermediate,Immediate,https://portfolio124.com,https://linkedin.com/in/candidate124
125,Bui Thanh E 125,46,Female,5,High School,Software Engineering,Node.js|HTML/CSS|Team Leadership,3981,Flexible,Contract,Employed,Advanced,1 month,https://portfolio125.com,https://linkedin.com/in/candidate125
126,Huynh Hoang D 126,34,Other,16,PhD,Economics,Scrum|Agile|AWS,3682,Remote,Part-time,Employed,Advanced,2 weeks,https://portfolio126.com,https://linkedin.com/in/candidate126
127,Do Thi B 127,40,Female,12,Associate,Business Administration,Communication|Data Analysis|Agile|Python|Node.js|Project Management|Scrum,1798,Da Nang,Internship,Employed,Advanced,1 month,https://portfolio127.com,https://linkedin.com/in/candidate127
128,Dang Quang F 128,47,Female,18,Master,Electrical Engineering,Git|Problem Solving|Java|AWS|Agile|Team Leadership|Python,1084,Flexible,Part-time,Freelancer,Intermediate,1 month,,https://linkedin.com/in/candidate128
129,Hoang Mai I 129,40,Female,18,Master,Electrical Engineering,JavaScript|HTML/CSS|Python|Project Management|Django|Java|Data Analysis,1220,Ho Chi Minh City,Full-time,Unemployed,Advanced,1 month,https://portfolio129.com,https://linkedin.com/in/candidate129
130,Nguyen Thanh E 130,44,Other,9,Associate,Data Science,AWS|Team Leadership|Communication,2960,Remote,Internship,Unemployed,Basic,Immediate,https://portfolio130.com,https://linkedin.com/in/candidate130
131,Huynh Thanh E 131,35,Female,2,Bachelor,Mathematics,Team Leadership|Agile|Machine Learning|Problem Solving|Python,3865,Remote,Internship,Freelancer,Advanced,Immediate,https://portfolio131.com,https://linkedin.com/in/candidate131
132,Huynh Quang F 132,25,Female,13,Bachelor,Economics,HTML/CSS|Communication|Scrum|Flask|React,3075,Flexible,Part-time,Student,Intermediate,Immediate,https://portfolio132.com,https://linkedin.com/in/candidate132
133,Vo Hoang D 133,34,Male,18,Master,Economics,Scrum|Agile|Team Leadership|SQL|JavaScript,2294,Da Nang,Part-time,Student,Intermediate,Immediate,https://portfolio133.com,https://linkedin.com/in/candidate133
134,Dang Thu G 134,29,Other,4,Master,Computer Science,Flask|Django|Git,4684,Flexible,Contract,Student,Basic,2 weeks,https://portfolio134.com,https://linkedin.com/in/candidate134
